# Atmospheric Parameters for Model C7
# Eugene H. Avrett and Rudolf Loeser ApJS 175 229 (2008)
# DOI: 10.1086/523671
# 
# 
# 0: h[cm], height from z=0km
# 1: m[g/cm^2], column mass = P_tot/g_acc
# 2: T[K], temperature
# 3: P_gas[dyn/cm^2], gas pressure
# 4: P_tot[dyn/cm^2], total pressure = P_gas + P_turbulence
# 5: nH_tot[1/cm^3], total hydrogen density
# 
# 
# h[cm], m[g/cm^2], T[k], P_gas[dyn/cm^2], P_tot[dyn/cm^2], nH_tot[1/cm^3]
6.80844e+09 1.178e-06 1.586e+06 3.142e-02 3.227e-02 6.233e+07
4.70093e+09 1.553e-06 1.410e+06 4.131e-02 4.256e-02 9.217e+07
3.60795e+09 1.820e-06 1.294e+06 4.827e-02 4.986e-02 1.174e+08
2.66766e+09 2.112e-06 1.170e+06 5.583e-02 5.787e-02 1.502e+08
2.11331e+09 2.325e-06 1.080e+06 6.127e-02 6.369e-02 1.786e+08
1.53920e+09 2.592e-06 9.637e+05 6.801e-02 7.102e-02 2.221e+08
1.15962e+09 2.808e-06 8.650e+05 7.333e-02 7.694e-02 2.667e+08
8.97424e+08 2.986e-06 7.783e+05 7.756e-02 8.180e-02 3.135e+08
7.36082e+08 3.112e-06 7.117e+05 8.044e-02 8.526e-02 3.556e+08
5.76283e+08 3.256e-06 6.293e+05 8.355e-02 8.920e-02 4.177e+08
4.96864e+08 3.338e-06 5.774e+05 8.516e-02 9.145e-02 4.641e+08
4.29586e+08 3.415e-06 5.243e+05 8.653e-02 9.356e-02 5.193e+08
3.75271e+08 3.485e-06 4.716e+05 8.757e-02 9.548e-02 5.842e+08
3.42499e+08 3.532e-06 4.329e+05 8.810e-02 9.677e-02 6.403e+08
3.13379e+08 3.578e-06 3.920e+05 8.842e-02 9.803e-02 7.096e+08
2.97076e+08 3.606e-06 3.650e+05 8.847e-02 9.879e-02 7.625e+08
2.84440e+08 3.629e-06 3.413e+05 8.840e-02 9.943e-02 8.149e+08
2.76149e+08 3.645e-06 3.240e+05 8.827e-02 9.988e-02 8.571e+08
2.68810e+08 3.661e-06 3.073e+05 8.808e-02 1.003e-01 9.018e+08
2.62832e+08 3.674e-06 2.925e+05 8.785e-02 1.006e-01 9.451e+08
2.57823e+08 3.685e-06 2.790e+05 8.758e-02 1.010e-01 9.876e+08
2.53547e+08 3.695e-06 2.667e+05 8.748e-02 1.012e-01 1.032e+09
2.49556e+08 3.705e-06 2.544e+05 8.744e-02 1.015e-01 1.082e+09
2.45790e+08 3.715e-06 2.419e+05 8.737e-02 1.018e-01 1.137e+09
2.41866e+08 3.725e-06 2.278e+05 8.726e-02 1.021e-01 1.205e+09
2.37819e+08 3.737e-06 2.120e+05 8.710e-02 1.024e-01 1.293e+09
2.34610e+08 3.747e-06 1.981e+05 8.692e-02 1.027e-01 1.380e+09
2.32578e+08 3.754e-06 1.886e+05 8.677e-02 1.029e-01 1.447e+09
2.30855e+08 3.760e-06 1.801e+05 8.662e-02 1.030e-01 1.513e+09
2.29437e+08 3.765e-06 1.726e+05 8.647e-02 1.032e-01 1.576e+09
2.28238e+08 3.770e-06 1.660e+05 8.633e-02 1.033e-01 1.637e+09
2.26969e+08 3.775e-06 1.586e+05 8.615e-02 1.034e-01 1.710e+09
2.25943e+08 3.779e-06 1.523e+05 8.599e-02 1.035e-01 1.778e+09
2.25164e+08 3.782e-06 1.472e+05 8.586e-02 1.036e-01 1.836e+09
2.24332e+08 3.786e-06 1.416e+05 8.569e-02 1.037e-01 1.905e+09
2.23529e+08 3.789e-06 1.358e+05 8.552e-02 1.038e-01 1.982e+09
2.22774e+08 3.793e-06 1.302e+05 8.531e-02 1.039e-01 2.064e+09
2.22004e+08 3.797e-06 1.240e+05 8.506e-02 1.040e-01 2.160e+09
2.21374e+08 3.800e-06 1.187e+05 8.483e-02 1.041e-01 2.251e+09
2.20766e+08 3.803e-06 1.132e+05 8.457e-02 1.042e-01 2.353e+09
2.20192e+08 3.806e-06 1.078e+05 8.430e-02 1.043e-01 2.465e+09
2.19652e+08 3.810e-06 1.023e+05 8.401e-02 1.044e-01 2.589e+09
2.19146e+08 3.813e-06 9.686e+04 8.370e-02 1.045e-01 2.727e+09
2.18608e+08 3.816e-06 9.064e+04 8.332e-02 1.046e-01 2.904e+09
2.18244e+08 3.819e-06 8.612e+04 8.303e-02 1.046e-01 3.049e+09
2.17874e+08 3.822e-06 8.122e+04 8.269e-02 1.047e-01 3.225e+09
2.17528e+08 3.824e-06 7.633e+04 8.234e-02 1.048e-01 3.422e+09
2.17232e+08 3.827e-06 7.181e+04 8.200e-02 1.048e-01 3.628e+09
2.16999e+08 3.829e-06 6.800e+04 8.170e-02 1.049e-01 3.822e+09
2.16769e+08 3.831e-06 6.395e+04 8.137e-02 1.050e-01 4.054e+09
2.16603e+08 3.833e-06 6.079e+04 8.112e-02 1.050e-01 4.255e+09
2.16456e+08 3.834e-06 5.779e+04 8.088e-02 1.050e-01 4.468e+09
2.16329e+08 3.835e-06 5.502e+04 8.065e-02 1.051e-01 4.684e+09
2.16229e+08 3.837e-06 5.269e+04 8.046e-02 1.051e-01 4.885e+09
2.16126e+08 3.838e-06 5.014e+04 8.025e-02 1.051e-01 5.127e+09
2.16063e+08 3.838e-06 4.849e+04 8.012e-02 1.052e-01 5.297e+09
2.16001e+08 3.839e-06 4.680e+04 7.999e-02 1.052e-01 5.484e+09
2.15942e+08 3.840e-06 4.514e+04 7.986e-02 1.052e-01 5.683e+09
2.15884e+08 3.841e-06 4.340e+04 7.974e-02 1.052e-01 5.908e+09
2.15821e+08 3.842e-06 4.145e+04 7.960e-02 1.053e-01 6.185e+09
2.15757e+08 3.843e-06 3.940e+04 7.948e-02 1.053e-01 6.508e+09
2.15682e+08 3.844e-06 3.687e+04 7.935e-02 1.053e-01 6.958e+09
2.15616e+08 3.845e-06 3.458e+04 7.931e-02 1.053e-01 7.433e+09
2.15550e+08 3.846e-06 3.226e+04 7.927e-02 1.054e-01 7.985e+09
2.15473e+08 3.848e-06 2.950e+04 7.922e-02 1.054e-01 8.757e+09
2.15407e+08 3.849e-06 2.713e+04 7.916e-02 1.055e-01 9.547e+09
2.15348e+08 3.850e-06 2.512e+04 7.907e-02 1.055e-01 1.033e+10
2.15287e+08 3.852e-06 2.310e+04 7.891e-02 1.055e-01 1.125e+10
2.15203e+08 3.854e-06 2.051e+04 7.869e-02 1.056e-01 1.269e+10
2.15116e+08 3.857e-06 1.814e+04 7.844e-02 1.057e-01 1.437e+10
2.15012e+08 3.861e-06 1.576e+04 7.811e-02 1.058e-01 1.663e+10
2.14865e+08 3.867e-06 1.320e+04 7.756e-02 1.060e-01 2.009e+10
2.14705e+08 3.876e-06 1.098e+04 7.565e-02 1.062e-01 2.469e+10
2.14516e+08 3.888e-06 9.115e+03 7.338e-02 1.065e-01 3.187e+10
2.14193e+08 3.915e-06 7.950e+03 7.239e-02 1.073e-01 3.784e+10
2.13800e+08 3.951e-06 7.248e+03 7.238e-02 1.083e-01 4.204e+10
