# z[cm],	P[dyn/cm^2],	T[K],	rho[g/cm^3],	MU
2.000e+08	5.546e-02	6.070e+03	1.410e-13	1.300e+00
1.000e+08	6.490e+01	6.070e+03	1.650e-10	1.300e+00
9.720e+07	7.930e+01	6.020e+03	2.040e-10	1.300e+00
9.320e+07	1.060e+02	5.960e+03	2.750e-10	1.300e+00
8.910e+07	1.420e+02	5.910e+03	3.750e-10	1.300e+00
8.540e+07	1.850e+02	5.870e+03	4.850e-10	1.300e+00
8.240e+07	2.290e+02	5.840e+03	6.110e-10	1.300e+00
7.990e+07	2.760e+02	5.810e+03	7.380e-10	1.300e+00
7.770e+07	3.240e+02	5.780e+03	8.710e-10	1.300e+00
7.580e+07	3.730e+02	5.760e+03	1.010e-09	1.300e+00
7.420e+07	4.200e+02	5.740e+03	1.140e-09	1.300e+00
7.270e+07	4.680e+02	5.720e+03	1.270e-09	1.300e+00
7.130e+07	5.200e+02	5.700e+03	1.420e-09	1.300e+00
6.990e+07	5.780e+02	5.690e+03	1.580e-09	1.300e+00
6.850e+07	6.420e+02	5.670e+03	1.760e-09	1.300e+00
6.710e+07	7.120e+02	5.650e+03	1.960e-09	1.300e+00
6.580e+07	7.890e+02	5.630e+03	2.180e-09	1.300e+00
6.440e+07	8.730e+02	5.620e+03	2.420e-09	1.300e+00
6.310e+07	9.680e+02	5.600e+03	2.690e-09	1.300e+00
6.170e+07	1.070e+03	5.580e+03	2.990e-09	1.300e+00
6.040e+07	1.190e+03	5.570e+03	3.330e-09	1.300e+00
5.900e+07	1.320e+03	5.550e+03	3.700e-09	1.300e+00
5.770e+07	1.460e+03	5.530e+03	4.120e-09	1.300e+00
5.630e+07	1.620e+03	5.510e+03	4.590e-09	1.300e+00
5.490e+07	1.800e+03	5.490e+03	5.110e-09	1.300e+00
5.360e+07	2.000e+03	5.480e+03	5.700e-09	1.300e+00
5.220e+07	2.230e+03	5.460e+03	6.360e-09	1.300e+00
5.080e+07	2.480e+03	5.440e+03	7.110e-09	1.300e+00
4.950e+07	2.770e+03	5.420e+03	7.950e-09	1.300e+00
4.810e+07	3.080e+03	5.400e+03	8.890e-09	1.300e+00
4.670e+07	3.440e+03	5.380e+03	9.960e-09	1.300e+00
4.530e+07	3.840e+03	5.360e+03	1.120e-08	1.300e+00
4.390e+07	4.290e+03	5.340e+03	1.250e-08	1.300e+00
4.250e+07	4.810e+03	5.320e+03	1.410e-08	1.300e+00
4.110e+07	5.390e+03	5.310e+03	1.580e-08	1.300e+00
3.960e+07	6.050e+03	5.310e+03	1.780e-08	1.300e+00
3.820e+07	6.790e+03	5.320e+03	1.990e-08	1.300e+00
3.670e+07	7.620e+03	5.330e+03	2.230e-08	1.300e+00
3.530e+07	8.570e+03	5.340e+03	2.500e-08	1.300e+00
3.380e+07	9.640e+03	5.350e+03	2.810e-08	1.300e+00
3.230e+07	1.090e+04	5.360e+03	3.160e-08	1.300e+00
3.080e+07	1.230e+04	5.380e+03	3.550e-08	1.300e+00
2.920e+07	1.380e+04	5.390e+03	4.000e-08	1.300e+00
2.770e+07	1.560e+04	5.400e+03	4.500e-08	1.300e+00
2.590e+07	1.760e+04	5.410e+03	5.060e-08	1.300e+00
2.470e+07	1.980e+04	5.430e+03	5.680e-08	1.300e+00
2.320e+07	2.220e+04	5.440e+03	6.360e-08	1.300e+00
2.180e+07	2.480e+04	5.450e+03	7.090e-08	1.300e+00
2.040e+07	2.760e+04	5.460e+03	7.870e-08	1.300e+00
1.910e+07	3.050e+04	5.470e+03	8.680e-08	1.300e+00
1.800e+07	3.340e+04	5.480e+03	9.500e-08	1.300e+00
1.690e+07	3.640e+04	5.490e+03	1.030e-07	1.300e+00
1.590e+07	3.920e+04	5.510e+03	1.110e-07	1.300e+00
1.510e+07	4.190e+04	5.520e+03	1.180e-07	1.300e+00
1.430e+07	4.430e+04	5.540e+03	1.250e-07	1.300e+00
1.370e+07	4.640e+04	5.560e+03	1.300e-07	1.300e+00
1.320e+07	4.840e+04	5.570e+03	1.350e-07	1.300e+00
1.270e+07	5.020e+04	5.580e+03	1.400e-07	1.300e+00
1.220e+07	5.200e+04	5.590e+03	1.450e-07	1.300e+00
1.180e+07	5.390e+04	5.600e+03	1.500e-07	1.300e+00
1.130e+07	5.590e+04	5.620e+03	1.550e-07	1.300e+00
1.070e+07	5.820e+04	5.630e+03	1.610e-07	1.300e+00
1.020e+07	6.070e+04	5.640e+03	1.680e-07	1.300e+00
9.610e+06	6.340e+04	5.660e+03	1.750e-07	1.300e+00
8.980e+06	6.650e+04	5.670e+03	1.830e-07	1.300e+00
8.300e+06	7.000e+04	5.700e+03	1.920e-07	1.300e+00
7.570e+06	7.390e+04	5.740e+03	2.010e-07	1.300e+00
6.770e+06	7.840e+04	5.780e+03	2.120e-07	1.300e+00
5.970e+06	8.330e+04	5.820e+03	2.230e-07	1.300e+00
5.070e+06	8.900e+04	5.870e+03	2.370e-07	1.300e+00
4.070e+06	9.560e+04	5.930e+03	2.520e-07	1.300e+00
2.970e+06	1.030e+05	5.990e+03	2.700e-07	1.300e+00
1.770e+06	1.120e+05	6.050e+03	2.900e-07	1.300e+00
6.750e+05	1.220e+05	6.140e+03	3.110e-07	1.300e+00
-6.250e+05	1.330e+05	6.290e+03	3.280e-07	1.300e+00
-2.030e+06	1.460e+05	6.570e+03	3.450e-07	1.300e+00
-3.300e+06	1.540e+05	7.140e+03	3.345e-07	1.290e+00
-3.693e+06	1.576e+05	7.370e+03	3.314e-07	1.289e+00
