# Atmospheric Parameters, from z=-10Mm to z=68Mm
#
# Below z=-100km, HSRASP
# Above z=-100km, Model C7 from Avrett and Loeser 2008
# HSRASP: Chapman ApJ 232 923 (1979)
# DOI: 10.1086/157355
# Model C7: Eugene H. Avrett and Rudolf Loeser ApJS 175 229 (2008)
# DOI: 10.1086/523671
#
# 0: z[km] height from z=0km, where z=0km is where tau_5000=1
# 1: T[K]
# 2: P_gas[dyn/cm^2] gas pressure
# 3: rho_tot[g/cm^3] total mass density
# 4: nH[1/cm^3] total hydrogen number density
# 5: mu[a.m.u.] mean molecular weight
# 6: X_H Hydrogen mass fraction
#
# z, T, P_gas, rho_tot, nH, mu, X_H
6.80844e+09 1.58600e+06 3.14200e-02 1.46082e-16 6.23300e+07 1.27300e+00 7.14061e-01
4.70093e+09 1.41000e+06 4.13100e-02 2.16017e-16 9.21700e+07 1.27300e+00 7.14061e-01
3.60795e+09 1.29400e+06 4.82700e-02 2.75148e-16 1.17400e+08 1.27300e+00 7.14061e-01
2.66766e+09 1.17000e+06 5.58300e-02 3.52021e-16 1.50200e+08 1.27300e+00 7.14061e-01
2.11331e+09 1.08000e+06 6.12700e-02 4.18582e-16 1.78600e+08 1.27300e+00 7.14061e-01
1.53920e+09 9.63700e+05 6.80100e-02 5.20532e-16 2.22100e+08 1.27300e+00 7.14061e-01
1.15962e+09 8.65000e+05 7.33300e-02 6.25060e-16 2.66700e+08 1.27300e+00 7.14061e-01
8.97424e+08 7.78300e+05 7.75600e-02 7.34744e-16 3.13500e+08 1.27300e+00 7.14061e-01
7.36082e+08 7.11700e+05 8.04400e-02 8.33413e-16 3.55600e+08 1.27300e+00 7.14061e-01
5.76283e+08 6.29300e+05 8.35500e-02 9.78956e-16 4.17700e+08 1.27300e+00 7.14061e-01
4.96864e+08 5.77400e+05 8.51600e-02 1.08770e-15 4.64100e+08 1.27300e+00 7.14061e-01
4.29586e+08 5.24300e+05 8.65300e-02 1.21707e-15 5.19300e+08 1.27300e+00 7.14061e-01
3.75271e+08 4.71600e+05 8.75700e-02 1.36918e-15 5.84200e+08 1.27300e+00 7.14061e-01
3.42499e+08 4.32900e+05 8.81000e-02 1.50066e-15 6.40300e+08 1.27300e+00 7.14061e-01
3.13379e+08 3.92000e+05 8.84200e-02 1.66308e-15 7.09600e+08 1.27300e+00 7.14061e-01
2.97076e+08 3.65000e+05 8.84700e-02 1.78706e-15 7.62500e+08 1.27300e+00 7.14061e-01
2.84440e+08 3.41300e+05 8.84000e-02 1.90987e-15 8.14900e+08 1.27300e+00 7.14061e-01
2.76149e+08 3.24000e+05 8.82700e-02 2.00877e-15 8.57100e+08 1.27300e+00 7.14061e-01
2.68810e+08 3.07300e+05 8.80800e-02 2.11353e-15 9.01800e+08 1.27300e+00 7.14061e-01
2.62832e+08 2.92500e+05 8.78500e-02 2.21501e-15 9.45100e+08 1.27300e+00 7.14061e-01
2.57823e+08 2.79000e+05 8.75800e-02 2.31462e-15 9.87600e+08 1.27300e+00 7.14061e-01
2.53547e+08 2.66700e+05 8.74800e-02 2.41868e-15 1.03200e+09 1.27300e+00 7.14061e-01
2.49556e+08 2.54400e+05 8.74400e-02 2.53586e-15 1.08200e+09 1.27300e+00 7.14061e-01
2.45790e+08 2.41900e+05 8.73700e-02 2.66477e-15 1.13700e+09 1.27300e+00 7.14061e-01
2.41866e+08 2.27800e+05 8.72600e-02 2.82414e-15 1.20500e+09 1.27300e+00 7.14061e-01
2.37819e+08 2.12000e+05 8.71000e-02 3.03038e-15 1.29300e+09 1.27300e+00 7.14061e-01
2.34610e+08 1.98100e+05 8.69200e-02 3.23428e-15 1.38000e+09 1.27300e+00 7.14061e-01
2.32578e+08 1.88600e+05 8.67700e-02 3.39131e-15 1.44700e+09 1.27300e+00 7.14061e-01
2.30855e+08 1.80100e+05 8.66200e-02 3.54599e-15 1.51300e+09 1.27300e+00 7.14061e-01
2.29437e+08 1.72600e+05 8.64700e-02 3.69364e-15 1.57600e+09 1.27300e+00 7.14061e-01
2.28238e+08 1.66000e+05 8.63300e-02 3.83661e-15 1.63700e+09 1.27300e+00 7.14061e-01
2.26969e+08 1.58600e+05 8.61500e-02 4.00770e-15 1.71000e+09 1.27300e+00 7.14061e-01
2.25943e+08 1.52300e+05 8.59900e-02 4.16707e-15 1.77800e+09 1.27300e+00 7.14061e-01
2.25164e+08 1.47200e+05 8.58600e-02 4.30300e-15 1.83600e+09 1.27300e+00 7.14061e-01
2.24332e+08 1.41600e+05 8.56900e-02 4.46471e-15 1.90500e+09 1.27300e+00 7.14061e-01
2.23529e+08 1.35800e+05 8.55200e-02 4.64518e-15 1.98200e+09 1.27300e+00 7.14061e-01
2.22774e+08 1.30200e+05 8.53100e-02 4.83736e-15 2.06400e+09 1.27300e+00 7.14061e-01
2.22004e+08 1.24000e+05 8.50600e-02 5.06235e-15 2.16000e+09 1.27300e+00 7.14061e-01
2.21374e+08 1.18700e+05 8.48300e-02 5.27563e-15 2.25100e+09 1.27300e+00 7.14061e-01
2.20766e+08 1.13200e+05 8.45700e-02 5.51468e-15 2.35300e+09 1.27300e+00 7.14061e-01
2.20192e+08 1.07800e+05 8.43000e-02 5.77718e-15 2.46500e+09 1.27300e+00 7.14061e-01
2.19652e+08 1.02300e+05 8.40100e-02 6.06779e-15 2.58900e+09 1.27300e+00 7.14061e-01
2.19146e+08 9.68600e+04 8.37000e-02 6.39122e-15 2.72700e+09 1.27300e+00 7.14061e-01
2.18608e+08 9.06400e+04 8.33200e-02 6.80605e-15 2.90400e+09 1.27300e+00 7.14061e-01
2.18244e+08 8.61200e+04 8.30300e-02 7.14589e-15 3.04900e+09 1.27300e+00 7.14061e-01
2.17874e+08 8.12200e+04 8.26900e-02 7.55838e-15 3.22500e+09 1.27300e+00 7.14061e-01
2.17528e+08 7.63300e+04 8.23400e-02 8.02008e-15 3.42200e+09 1.27300e+00 7.14061e-01
2.17232e+08 7.18100e+04 8.20000e-02 8.50288e-15 3.62800e+09 1.27300e+00 7.14061e-01
2.16999e+08 6.80000e+04 8.17000e-02 8.95755e-15 3.82200e+09 1.27300e+00 7.14061e-01
2.16769e+08 6.39500e+04 8.13700e-02 9.50129e-15 4.05400e+09 1.27300e+00 7.14061e-01
2.16603e+08 6.07900e+04 8.11200e-02 9.97237e-15 4.25500e+09 1.27300e+00 7.14061e-01
2.16456e+08 5.77900e+04 8.08800e-02 1.04716e-14 4.46800e+09 1.27300e+00 7.14061e-01
2.16329e+08 5.50200e+04 8.06500e-02 1.09778e-14 4.68400e+09 1.27300e+00 7.14061e-01
